Character,Game,Words,Lines,Sentences
Midgardsormr,Final Fantasy 14,7337,382,672
Former Mayor,Final Fantasy 14,6623,356,555
Alisiae,Final Fantasy 14,5920,336,511
Gracine,Final Fantasy 14,5905,343,574
Shipwright,Final Fantasy 14,5548,308,562
Huaca,Final Fantasy 14,5279,372,555
Argos,Final Fantasy 14,5216,359,528
Gobli,Final Fantasy 14,5144,301,493
Relieved Villager,Final Fantasy 14,5029,339,531
Earnest Envoy,Final Fantasy 14,5015,291,476
V'mah Tia,Final Fantasy 14,5003,266,387
Korille,Final Fantasy 14,4866,398,595
Resistance Scout,Final Fantasy 14,4733,234,446
Ga Bu,Final Fantasy 14,4652,245,462
M-017,Final Fantasy 14,4557,303,490
Imperial Magitek Engineer,Final Fantasy 14,4504,244,412
Firearms,Final Fantasy 14,4469,327,488
Ropli,Final Fantasy 14,4276,337,463
Angry Mob,Final Fantasy 14,4182,201,359
Determined Caregiver,Final Fantasy 14,4133,260,427
Vonard,Final Fantasy 14,4068,211,356
Last Stand Waitress,Final Fantasy 14,4024,236,357
Meghaduta Attendant,Final Fantasy 14,3990,226,356
Contented Carer,Final Fantasy 14,3980,254,451
Excavatory Node,Final Fantasy 14,3968,226,424
Pukno Poki,Final Fantasy 14,3935,146,269
Yahsra,Final Fantasy 14,3868,266,417
Wide-eyed Boy,Final Fantasy 14,3855,228,352
Level-headed Student,Final Fantasy 14,3854,193,296
Railroad Clerk,Final Fantasy 14,3841,262,403
Fordola Lupis,Final Fantasy 14,3823,215,394
Growingway,Final Fantasy 14,3780,217,367
Nyelbert,Final Fantasy 14,3779,208,381
Eulmoran Adjutant,Final Fantasy 14,3644,219,388
Troian Warden,Final Fantasy 14,3635,308,448
Strika,Final Fantasy 14,3630,233,366
Unsettled Scholar,Final Fantasy 14,3610,203,360
Enclave Skiff Captain,Final Fantasy 14,3535,180,349
King Thordan,Final Fantasy 14,3507,197,307
M'naago,Final Fantasy 14,3498,178,325
Resistance Herald,Final Fantasy 14,3468,149,296
Neh-needg,Final Fantasy 14,3460,211,323
Guthjon,Final Fantasy 14,3434,226,376
Inquisitive Passerby,Final Fantasy 14,3415,188,315
Serpent Conjurer,Final Fantasy 14,3385,244,381
Doros,Final Fantasy 14,3385,253,441
Nervous Guard,Final Fantasy 14,3382,208,392
Silvairre,Final Fantasy 14,3378,156,315
Bazaar Patron,Final Fantasy 14,3281,205,293
Lominsan Delegate,Final Fantasy 14,3253,173,278
Godbert,Final Fantasy 14,3236,152,279
Conrad,Final Fantasy 14,3218,153,317
Emet-Selch,Final Fantasy 14,3151,164,311
Zenos viator Galvus,Final Fantasy 14,3142,187,269
Spirited Stonecutter,Final Fantasy 14,3100,160,311
Forename Surname,Final Fantasy 14,3063,185,305
Vergilia van Corculum,Final Fantasy 14,3052,176,277
Worldly Affairs Official,Final Fantasy 14,3030,159,267
Lozatl,Final Fantasy 14,3022,204,336
Specter of Gosetsu,Final Fantasy 14,3014,157,296
Imperial Centurion,Final Fantasy 14,3006,152,285
Brawny Knight,Final Fantasy 14,2985,174,278
Puddingway,Final Fantasy 14,2966,162,237
Hraesvelgr,Final Fantasy 14,2907,135,242
Ran'jit,Final Fantasy 14,2897,154,252
Ollier,Final Fantasy 14,2893,118,232
Magnus,Final Fantasy 14,2882,164,291
Lunar Ifrit,Final Fantasy 14,2838,154,229
Byblos,Final Fantasy 14,2785,163,291
Au Ra Patron,Final Fantasy 14,2770,163,267
Misty-eyed Skygazer,Final Fantasy 14,2770,108,228
Burly Tapper,Final Fantasy 14,2757,158,255
Simeonard of the Holiest Flame,Final Fantasy 14,2753,161,293
Iroha,Final Fantasy 14,2753,112,275
Zeromus,Final Fantasy 14,2742,199,291
Voyne,Final Fantasy 14,2733,158,269
Houdart,Final Fantasy 14,2731,136,248
Weary Mol Warrior,Final Fantasy 14,2720,136,278
Varis zos Galvus,Final Fantasy 14,2714,140,239
Suspicious Youth,Final Fantasy 14,2711,151,298
Alisaie,Final Fantasy 14,2710,171,242
Danyell,Final Fantasy 14,2698,123,234
Suspicious Merchant,Final Fantasy 14,2696,128,232
Ahewann,Final Fantasy 14,2678,151,219
Alphinaud and Alisaie,Final Fantasy 14,2669,184,284
Bewildered Man,Final Fantasy 14,2661,204,308
1st Legion Soldier,Final Fantasy 14,2660,177,275
Flame Courier,Final Fantasy 14,2656,114,239
Stewards of Wisdom,Final Fantasy 14,2602,113,172
Unei,Final Fantasy 14,2575,114,226
Shiva,Final Fantasy 14,2573,149,232
Davith,Final Fantasy 14,2573,179,286
Flavius,Final Fantasy 14,2572,160,239
Reserved Representative,Final Fantasy 14,2520,147,206
Unsure Citizen,Final Fantasy 14,2520,157,235
Dickon,Final Fantasy 14,2482,141,246
Wounded Elder,Final Fantasy 14,2464,152,269
Euanthe,Final Fantasy 14,2464,154,256
Skysteel Engineer,Final Fantasy 14,2461,133,265
Clive,Final Fantasy 14,2457,203,283
Cloud of Darkness,Final Fantasy 14,2435,126,237
Hyuran Woman,Final Fantasy 14,2424,134,232
Rroneek,Final Fantasy 14,2424,193,259
Lord of the Revel,Final Fantasy 14,2408,171,272
Tankwa,Final Fantasy 14,2402,177,269
Vorporlor's Aide,Final Fantasy 14,2394,200,272
Mamool Ja Illusion,Final Fantasy 14,2392,249,316
Begrimed Townsman,Final Fantasy 14,2390,135,220
Restrainment Node,Final Fantasy 14,2382,123,237
Ecaate,Final Fantasy 14,2374,201,315
Test Subject's Journal,Final Fantasy 14,2361,130,219
Estaine,Final Fantasy 14,2335,157,243
Forceful Warrior,Final Fantasy 14,2314,169,237
Flame Herald,Final Fantasy 14,2282,97,186
Amon the Undying,Final Fantasy 14,2265,214,265
Mournful Hanu,Final Fantasy 14,2259,159,227
Quiveron Retainer,Final Fantasy 14,2255,123,211
Atheleys,Final Fantasy 14,2243,149,220
Imperial Laquearius,Final Fantasy 14,2242,102,207
Crystalline Memories,Final Fantasy 14,2239,138,174
Familiar Woman,Final Fantasy 14,2222,132,197
Asahi sas Brutus,Final Fantasy 14,2201,120,218
Chieftain Moglin,Final Fantasy 14,2187,132,214
Otis,Final Fantasy 14,2183,146,227
Buro Roggo the Tepid,Final Fantasy 14,2175,131,221
Brennan/Bremondt/Brendt,Final Fantasy 14,2173,128,214
12th Legion Hoplomachus,Final Fantasy 14,2173,130,242
Miilal Ja,Final Fantasy 14,2173,151,238
Crystal Brave,Final Fantasy 14,2171,104,169
Soroban,Final Fantasy 14,2157,124,222
Haname,Final Fantasy 14,2138,113,220
Mitron,Final Fantasy 14,2135,106,216
Zenos,Final Fantasy 14,2130,123,247
Azami,Final Fantasy 14,2121,109,231
Ascians,Final Fantasy 14,2117,95,168
Daidukul the Mirthful,Final Fantasy 14,2107,129,219
Ciriatto,Final Fantasy 14,2100,186,288
Mogtoe,Final Fantasy 14,2085,86,167
Tatty Townswoman,Final Fantasy 14,2082,106,171
Ramuh,Final Fantasy 14,2072,102,161
Armed Imperial Citizen,Final Fantasy 14,2066,149,224
Kairos,Final Fantasy 14,2057,148,211
Distressed Soldier,Final Fantasy 14,2051,146,214
Guydelot,Final Fantasy 14,2049,94,158
Gurfurlur,Final Fantasy 14,2040,167,218
Hythlodaeus Shade,Final Fantasy 14,2028,103,158
Disheartened Man,Final Fantasy 14,2024,99,188
Veteran Radiant,Final Fantasy 14,2022,113,169
Eorzean Cuisine: A History,Final Fantasy 14,2019,111,174
Theyler,Final Fantasy 14,2008,111,198
Tesleen,Final Fantasy 14,1998,96,167
Comrades,Final Fantasy 14,1993,192,229
Ser Charibert,Final Fantasy 14,1992,128,196
Lamitt,Final Fantasy 14,1992,103,196
5th Cohort Optio,Final Fantasy 14,1984,148,228
Sunperch Guard,Final Fantasy 14,1978,150,209
Whisper,Final Fantasy 14,1970,69,183
Epiphanies of House Daemir,Final Fantasy 14,1951,120,173
Wounded Resistance Fighter,Final Fantasy 14,1944,88,183
Serendipity,Final Fantasy 14,1939,139,220
Adventurous Ambystoma,Final Fantasy 14,1916,106,174
Fastidious Fellow,Final Fantasy 14,1905,120,190
Panicked Son,Final Fantasy 14,1899,88,165
Elyenora,Final Fantasy 14,1897,110,171
Nourval,Final Fantasy 14,1894,84,179
